mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59590.22204,1.332,1.202,45.321,11.45388,11.454,0.015,o
59590.22617,1.332,1.202,45.321,11.45388,11.458,0.015,o
59590.23166,1.332,1.202,45.321,11.45388,11.462,0.015,o
59590.24145,1.332,1.202,45.321,11.45388,11.462,0.015,o
59592.25389,1.327,1.206,45.376,11.41296,11.419,0.011,o
59592.25667,1.327,1.206,45.376,11.41296,11.422,0.011,o
59592.26314,1.327,1.206,45.376,11.41296,11.422,0.011,o
59592.27516,1.327,1.206,45.376,11.41296,11.429,0.012,o
59596.2066,1.32,1.216,45.431,11.32368,11.388,0.012,o
59596.21212,1.32,1.216,45.431,11.32368,11.388,0.011,o
59596.21631,1.32,1.216,45.431,11.32368,11.386,0.011,o
59596.22692,1.32,1.216,45.431,11.32368,11.382,0.012,o
59596.23152,1.32,1.216,45.431,11.32368,11.374,0.011,o
59598.78278,1.316,1.223,45.43,11.25858,11.355,0.015,o
59598.78794,1.316,1.223,45.43,11.25858,11.346,0.018,o
59598.79125,1.316,1.223,45.43,11.25858,11.345,0.016,o
59598.80636,1.316,1.223,45.43,11.25858,11.356,0.016,o
59600.25469,1.314,1.227,45.416,11.21952,11.346,0.01,o
59600.25839,1.314,1.227,45.416,11.21952,11.342,0.01,o
59600.26394,1.314,1.227,45.416,11.21952,11.342,0.01,o
59600.27412,1.314,1.227,45.416,11.21952,11.341,0.01,o
59604.20781,1.309,1.24,45.331,11.1042,11.276,0.011,o
